SampleID	Cruise	depth	lat	long	temperature	salinity	knorr_cruise_id	station_id	time	cocco_rel_conc	diat_rel_conc	diaz_rel_conc	mixo_rel_conc	pico_eu_rel_conc	pico_pro_rel_conc	brown algae 	cocco	diat	diaz	land plants	mixo	nanoplankton	phaeocystis	pico_eu	picopro	red_algae	unclassified
S0073	GA03	74.3	22.3499	-35.86749	23.994	37.415001	KN204	20	2011-12-03T23:12:00	0.001622465788387	0.000290653289994	0.198725312948227	1.22300398288644E-05	0.18002051115036	0.619328796863556	0	0.011345437551256	0.003336893397428	0.005072077964088	0	0.039241653012931	0.014682330948677	0.002802990453839	0.008142019889721	0.909637140138483	0	0.005739456643576
S0074	GA03	99.7	22.3499	-35.86749	22.44	37.314999	KN204	20	2011-12-03T23:12:00	0.003060118993744	0.000558398838621	0.207204148173332	4.45606747234706E-05	0.197740942239761	0.591391801834106	0	0.022748333460501	0.0089476778278	0	0	0.035871847368067	0.012587411181476	0.065515200366231	0.208125203961404	0.643929492488469	0	0.002274833346052
S0075	GA03	134.2	22.3499	-35.86749	20.269	36.964001	KN204	20	2011-12-03T23:12:00	0.137806624174118	0.00108000007458	0.235075086355209	0.022429592907429	0.251615941524506	0.351992726325989	0.000886269978069	0.031373957223656	0.031391115230819	0	0	0.280617495763097	0.026596678345662	0.04023665700435	0.100740322533767	0.488157503920581	0	0
S0076	GA03	183.8	22.3499	-35.86749	18.195	36.589001	KN204	20	2011-12-03T23:12:00	0.448943287134171	0.137727051973343	0.06667123734951	0.166099742054939	0.089961275458336	0.090597420930863	0	0.009025764560067	0.09928341016048	0	0	0.784509871128881	0.009025764560067	0.020307970260112	0.018051529120097	0.059795690210296	0	0
S0077	GA03	234.1	22.3499	-35.86749	17.353	36.442001	KN204	20	2011-12-03T23:12:00	0.479981750249863	0.187937125563622	0.047814913094044	0.192868977785111	0.050479523837566	0.040917653590441	0	0	0	0	0	0.792647659676434	0.049764561677767	0	0	0.157587778645799	0	0
S0078	GA03	300.8	22.3499	-35.86749	16.057	36.228001	KN204	20	2011-12-03T23:12:00	0.504072368144989	0.126379296183586	0.02431171759963	0.340586185455322	0.003871618071571	0.000778899237048	0	0.002186037410367	0.006558112231102	0	0.017488299282989	0.870043783328359	0	0.026232448924339	0	0.017488299282989	0	0.060003019539857
S0079	GA03	374.3	22.3499	-35.86749	14.843	36.019001	KN204	20	2011-12-03T23:12:00	0.467010021209717	0.072353146970272	0.017598634585738	0.442281931638718	0.000700595322996	5.56128907192033E-05	0	0	0	0	0.939050049458711	0	0	0	0.012697906362775	0.048252044178515	0	0
S0080	GA03	499.6	22.3499	-35.86749	12.725	35.717999	KN204	20	2011-12-03T23:12:00	0.305215388536453	0.01943706907332	0.007931551896036	0.667405605316162	1.03374541140511E-05	8.84097630660108E-08	0	0.017482456586366	0	0	0.007769980705056	0.867910328014081	0.007769980705056	0	0	0.099067253989441	0	0
S0081	GA03	1055.2	22.3499	-35.86749	6.143	35.001999	KN204	20	2011-12-03T23:12:00	0.008564566262066	0.000274837337201	0.000187628451386	0.990972816944122	1.02022063686036E-07	1.01890947235006E-07	0	0	0	0	0	0	0	0	0	0	0	0
S0138	GA03	50	19.4329	-29.38281	24.811	37.169998	KN204	22	2011-12-07T11:25:00	0.012158446013928	0.000687053543516	0.283512353897095	6.82081008562818E-05	0.220690086483955	0.482883781194687	0	0.012896832557844	0.006878699059239	0.000844752516048	0	0.167092744935446	0.023122915592088	0.008447525160472	0.012353777368954	0.757743006893889	0	0.01061974591602
S0139	GA03	74.5	19.4329	-29.38281	24.807	37.168999	KN204	22	2011-12-07T11:25:00	0.021599953994155	0.00107317767106	0.284455329179764	0.000565735914279	0.240793198347092	0.451512575149536	0	0.01169413497803	0.006101287814625	0.000889771139634	0	0.107587492300041	0.012393240873454	0.010232368105779	0.020373235778599	0.8214494271251	0	0.009279041884739
S0140	GA03	84	19.4329	-29.38281	23.235	37.092999	KN204	22	2011-12-07T11:25:00	0.036103215068579	0.00118417548947	0.281359255313873	0.002229898236692	0.247140765190124	0.431982696056366	0	0.006393457514255	0.006393457514261	0	0	0.124308502372337	0.004147107576816	0.105751243208818	0.241184038374778	0.511822193438735	0	0
S0141	GA03	123.8	19.4329	-29.38281	19.517	36.662998	KN204	22	2011-12-07T11:25:00	0.405572652816772	0.040232572704554	0.073732204735279	0.185304716229439	0.133105754852295	0.162052124738693	0	0.067455630488685	0.01140095163191	0	0	0.27070805155925	0.093873372962955	0.071255947699321	0.111924879713466	0.370530928036441	0	0.002850237907973
S0142	GA03	183.9	19.4329	-29.38281	15.955	36.138	KN204	22	2011-12-07T11:25:00	0.449662089347839	0.235301420092583	0.021285621449351	0.265473306179047	0.020219817757607	0.008057730272412	0	0.130133660982111	0.030030844842047	0	0	0.629619580281958	0	0	0	0.09009253452595	0	0.120123379367934
S0143	GA03	233.1	19.4329	-29.38281	15.176	36.030998	KN204	22	2011-12-07T11:25:00	0.437817096710205	0.188518047332764	0.015757635235787	0.353389948606491	0.003789876122028	0.00072730804095	0	0.003956943999159	0	0	0	0.963398268007792	0	0.005935415998736	0	0.026709371994314	0	0
S0144	GA03	283.3	19.4329	-29.38281	14.36	35.910999	KN204	22	2011-12-07T11:25:00	0.266047447919846	0.076264835894108	0.011820483021438	0.645772933959961	9.0485489636194E-05	3.90278773920727E-06	0	0	0.015542586631117	0	0	0.958553102316988	0	0	0	0.018996494771391	0	0.006907816280505
S0145	GA03	389.4	19.4329	-29.38281	12.793	35.695999	KN204	22	2011-12-07T11:25:00	0.111277498304844	0.024908708408475	0.006049104500562	0.857763886451721	8.44607654926222E-07	7.48711936893187E-09	0	0	0	0	0	0.981220729506841	0.008048258782773	0	0	0.010731011710385	0	0
S0098	GA03	48.1	17.3999	-24.49991	24.678	36.806	KN204	24	2011-12-10T08:27:00	0.028648901730776	0.000122114593978	0.298931777477264	0.001815499272197	0.224193885922432	0.44628781080246	0	0.023109769567036	0.011251947729273	0.003115923986569	0	0.007357042746058	0.015839280265049	0.022330788570385	0.072752953664263	0.836712143837166	0	0.0075301496342
S0099	GA03	71.6	17.3999	-24.49991	20.199	36.477001	KN204	24	2011-12-10T08:27:00	0.189424023032188	0.000598091923166	0.201436311006546	0.06193583458662	0.2134690284729	0.333136707544327	0	0.015866207046362	0.022558076684965	0	0	0.074024925275258	0.058242256666038	0.062169627610225	0.371455130989524	0.39514410882129	0	0.000539666906339
S0100	GA03	89.3	17.3999	-24.49991	19.688	36.588001	KN204	24	2011-12-10T08:27:00	0.336860537528992	0.006903806701303	0.101647347211838	0.150436982512474	0.165813490748405	0.238337859511375	0	0.035181981663925	0.023873487557662	0	0	0.067113194374302	0.03978914592945	0.068688630867655	0.16725987132023	0.593905357136309	0	0.004188331150466
S0102	GA03	183.7	17.3999	-24.49991	14.295	35.742001	KN204	24	2011-12-10T08:27:00	0.30458652973175	0.208019018173218	0.01566525734961	0.471459805965424	0.00026710529346	2.32771799346665E-06	0	0.011374235316632	0.008530676487492	0	0.093191240965548	0.871264273669933	0	0	0.003554448536452	0.012085125023944	0	0
S0103	GA03	234.5	17.3999	-24.49991	13.458	35.611	KN204	24	2011-12-10T08:27:00	0.22172823548317	0.130660250782967	0.015281856991351	0.632316887378693	1.27862149383873E-05	3.21162119121254E-08	0	0	0.022750501473703	0	0	0.943123746315829	0	0.018958751228028	0	0.01516700098244	0	0
S0104	GA03	285.9	17.3999	-24.49991	12.667	35.508999	KN204	24	2011-12-10T08:27:00	0.089358098804951	0.045634243637323	0.006450538523495	0.858557105064392	4.50275159380453E-08	1.70241060831744E-11	0	0	0.012416803746757	0.009312602810068	0	0.651589599398596	0.295638984677718	0	0	0.031042009366861	0	0
